Time,Lon,Lat
0:00:00,-23.52585983,-38.38848495
0:10:00,-12.34244442,-21.71953964
0:20:00,0.444000393,6.061430931
0:30:00,10.51161385,30.28095818
0:40:00,14.23023701,39.35343552
0:50:00,9.563207626,31.94869995
1:00:00,-2.230051756,10.18967533
1:10:00,-15.89376736,-17.83314133
1:20:00,-25.03559303,-37.19709778
1:30:00,-26.21765327,-40.17502213
1:40:00,-19.9666748,-27.56619453
1:50:00,-9.226346016,-1.774742007
2:00:00,0.444000393,6.061430931
2:10:00,10.51161385,30.28095818
2:20:00,14.23023701,39.35343552
2:30:00,9.563207626,31.94869995
2:40:00,-2.230051756,10.18967533
2:50:00,-15.89376736,-17.83314133
3:00:00,-25.03559303,-37.19709778
3:10:00,-26.21765327,-40.17502213
3:20:00,-19.9666748,-27.56619453
3:30:00,-9.226346016,-1.774742007
3:40:00,5.751438141,24.71272659
3:50:00,14.74037933,38.49356079
4:00:00,16.46373177,36.20692062
4:10:00,9.261945724,19.08593559
4:20:00,-4.5176301,-8.021636009
4:30:00,-18.11162376,-31.75761795
4:40:00,-25.51775169,-40.13042831
4:50:00,-23.85153389,-32.35688782
5:00:00,-15.46305656,-10.90348816
5:10:00,-3.576501131,16.77275658
5:20:00,9.309156418,35.64352036
5:30:00,16.7503109,38.39054108
5:40:00,16.2746315,26.0218792
5:50:00,6.585640907,1.463338971
6:00:00,-8.375389099,-24.8921299
6:10:00,-20.98406982,-38.87084579
6:20:00,-25.82394409,-36.27975082
6:30:00,-21.63602638,-19.01402092
6:40:00,-11.57709217,7.799514771
6:50:00,0.834320009,30.82941055
7:00:00,12.16162109,38.98482895
7:10:00,17.73216057,31.48093796
7:20:00,14.72988319,10.43192196
7:30:00,2.812243223,-16.81031609
7:40:00,-12.57405853,-35.83803177
7:50:00,-23.44211388,-38.61354065
8:00:00,-25.47161484,-26.02395058
8:10:00,-19.06918716,-1.446133137
8:20:00,-7.771271229,24.38537025
8:30:00,4.65657568,37.85775375
8:40:00,14.5087862,35.39381409
8:50:00,17.93895912,18.54507446
9:00:00,12.22393799,-7.890956879
9:10:00,-1.535951972,-31.02787781
9:20:00,-16.57799721,-39.28690338
9:30:00,-25.14232635,-31.60233688
9:40:00,-24.39757347,-10.41989708
9:50:00,-16.0967617,16.56200409
10:00:00,-3.947167158,35.00375748
10:10:00,8.079226494,37.70864105
10:20:00,16.33117104,25.45601082
10:30:00,17.34497452,1.292391062
10:40:00,8.929768562,-24.53267097
10:50:00,-6.136371613,-38.23074341
11:00:00,-20.08683777,-35.64533997
11:10:00,-25.98935318,-18.5913353
11:20:00,-22.65246582,7.799879074
11:30:00,-12.77492809,30.39488792
11:40:00,-0.139253408,38.39477539
11:50:00,11.11919594,30.95407295
12:00:00,17.55415344,10.16111469
12:10:00,15.89836693,-16.65610504
12:20:00,4.986500263,-35.37498474
12:30:00,-10.71957016,-38.08333206
12:40:00,-22.90949249,-25.59723854
12:50:00,-25.9858799,-1.326222658
13:00:00,-20.3180809,24.12079048
13:10:00,-9.186390877,37.39629745
